address,albers_x,albers_y,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1012 E 40TH AV, VANCOUVER, BC",1212483,472947,Sir Alexander Mackenzie Elementary,1212313,473057,67.0797539806453,00:01:07,0.32,schools
"1012 MAIN ST, VANCOUVER, BC",1211194,477561,Crosstown Elementary,1210665,477892,139.11433385763462,00:02:19,1.198,schools
"1012 NELSON ST, VANCOUVER, BC",1209203,478112,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 NELSON ST, VANCOUVER, BC",1209173,478139,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 NELSON ST, VANCOUVER, BC",1209188,478125,Pattison High School,1209307,478110,145.11211770266772,00:02:25,1.031,schools
"1012 RICHELIEU AV, VANCOUVER, BC",1209232,475286,L'Ecole Bilingue Elementary,1209026,475541,45.07496544318128,00:00:45,0.347,schools
"1014 CARDERO ST, VANCOUVER, BC",1208514,478731,King George Secondary,1208443,479047,47.69624095607827,00:00:47,0.432,schools
"1014 E 10TH AV, VANCOUVER, BC",1212463,476031,Florence Nightingale StrongStart Centre,1211687,475869,103.30940043840738,00:01:43,0.93,schools
"1014 E 22ND AV, VANCOUVER, BC",1212485,474859,Charles Dickens Elementary,1212535,475325,83.08461443253375,00:01:23,0.551,schools
"1014 HOMER ST, VANCOUVER, BC",1209675,477651,Elsie Roy Elementary,1209538,477136,115.81907850352385,00:01:55,0.891,schools
"1014 W 11TH AV, VANCOUVER, BC",1209245,475902,L'Ecole Bilingue Elementary,1209026,475541,125.85061781334787,00:02:05,0.59,schools
"1015 BURRARD ST, VANCOUVER, BC",1209145,478096,Pattison High School,1209307,478110,118.93424603009754,00:01:58,0.967,schools
"1015 CLARK DRIVE, VANCOUVER, BC",1212764,477620,Britannia Community Elementary,1213247,477541,95.33025009186866,00:01:35,0.633,schools
"1015 DENMAN ST, VANCOUVER, BC",1208246,478985,King George Secondary,1208443,479047,106.59583150420457,00:01:46,0.709,schools
